City,State,Geo.ID,Flood Instances,Flood Injuries Direct,Flood Injuries Indirect,Total Flood Injuries,Flood Deaths Direct,Flood Deaths Indirect,Total Flood Deaths0,Flood Damage,Heat Instances,Heat Injuries Direct,Heat Injuries Indirect,Total Heat Injuries,Heat Deaths Direct,Heat Deaths Indirect,Total Heat Deaths,Heat Damage,Cold Instances,Cold Injuries Direct,Cold Injuries Indirect,Total Cold Injuries,Cold Deaths Direct,Cold Deaths Indirect,Total Cold Deaths,Cold Damage,Coastal Flood Instances,Coastal Flood Injuries Direct,Coastal Flood Injuries Indirect,Total Coastal Flood Injuries,Coastal Flood Deaths Direct,Coastal Flood Deaths Indirect,Total Coastal Flood Deaths,Coastal Flood Damage
San Francisco,CA,1600000US0667000,20,0,0,0,0,0,0,14872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
San Jose,CA,1600000US0668000,23,2,0,2,1,0,1,25500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Juan,PR,1600000US7276770,116,0,0,0,0,0,0,333000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Santa Ana,CA,1600000US0669000,3,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Clara,CA,1600000US0669084,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Clarita,CA,1600000US0669088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Rosa,CA,1600000US0670098,3,0,0,0,0,0,0,1464068,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1430,4,0,0,0,0,0,0,0
Savannah,GA,1600000US1369000,23,0,0,0,0,0,0,86000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
Scottsdale,AZ,1600000US0465000,19,0,0,0,1,0,1,289223,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8083947,0,0,0,0,0,0,0,0
Seattle,WA,1600000US5363000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,89067
Shreveport,LA,1600000US2270000,60,0,0,0,0,0,0,251107,23,0,0,0,1,0,1,0,3,0,0,0,0,0,0,22546,0,0,0,0,0,0,0,0
Simi Valley,CA,1600000US0672016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sioux Falls,SD,1600000US4659020,43,0,0,0,0,0,0,288881,8,10,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Bend,IN,1600000US1871000,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spokane,WA,1600000US5367000,6,0,0,0,0,0,0,169218,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield,IL,1600000US1772000,7,0,0,0,1,0,1,21623413,6,10,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield,MA,1600000US2567000,6,0,0,0,0,0,0,11898316,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield,MO,1600000US2970000,71,0,0,0,0,0,0,12398316,6,156,34,190,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Louis,MO,1600000US2965000,9,0,0,0,0,0,0,112092,37,445,0,445,23,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Paul,MN,1600000US2758000,6,0,0,0,0,0,0,4300000,4,0,0,0,0,0,0,0,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
St. Petersburg,FL,1600000US1263000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stamford,CT,1600000US0973000,3,0,0,0,0,0,0,1709784,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Sterling Heights,MI,1600000US2676460,4,0,0,0,0,0,0,186700156,5,6,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stockton,CA,1600000US0675000,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunnyvale,CA,1600000US0677000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surprise,AZ,1600000US0471510,6,0,0,0,0,0,0,539693,12,0,0,0,1,0,1,0,8,0,0,0,0,0,0,5007605,0,0,0,0,0,0,0,0
Syracuse,NY,1600000US3673000,3,0,0,0,0,0,0,875197,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tacoma,WA,1600000US5370000,2,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7408
Tallahassee,FL,1600000US1270600,60,0,0,0,0,0,0,142678,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1100000,0,0,0,0,0,0,0,0
Tampa,FL,1600000US1271000,6,0,0,0,0,0,0,3019630,1,0,0,0,0,1,1,0,10,0,0,0,0,0,0,447442,0,0,0,0,0,0,0,0
Temecula,CA,1600000US0678120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tempe,AZ,1600000US0473000,7,0,0,0,0,0,0,54779,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2286226,0,0,0,0,0,0,0,0
Thornton,CO,1600000US0877290,4,0,0,0,0,0,0,201707,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thousand Oaks,CA,1600000US0678582,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo,OH,1600000US3977000,1,0,0,0,0,0,0,3268330,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Topeka,KS,1600000US2071000,15,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torrance,CA,1600000US0680000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
